date,open,high,low,close,volume
2025-08-01 09:15:00+05:30,795.7,796.55,793.1,794.05,339185
2025-08-01 09:30:00+05:30,794.0,795.8,792.9,795.25,203363
2025-08-01 09:45:00+05:30,795.5,796.5,794.2,796.35,630259
2025-08-01 10:00:00+05:30,796.25,798.2,795.55,798.2,368362
2025-08-01 10:15:00+05:30,798.25,799.9,797.35,799.75,323581
2025-08-01 10:30:00+05:30,799.6,800.55,799.35,800.05,214021
2025-08-01 10:45:00+05:30,800.15,800.15,798.3,799.2,166867
2025-08-01 11:00:00+05:30,799.5,800.0,798.25,798.5,139454
2025-08-01 11:15:00+05:30,798.35,800.5,797.2,800.1,335867
2025-08-01 11:30:00+05:30,800.15,801.0,798.8,799.4,233151
2025-08-01 11:45:00+05:30,799.45,800.45,799.2,799.7,476523
2025-08-01 12:00:00+05:30,799.7,800.1,797.85,799.2,213663
2025-08-01 12:15:00+05:30,799.25,800.9,799.05,800.05,596341
2025-08-01 12:30:00+05:30,800.0,800.8,797.25,797.55,542568
2025-08-01 12:45:00+05:30,797.6,798.4,796.3,796.45,227326
2025-08-01 13:00:00+05:30,796.4,797.05,795.6,796.65,167253
2025-08-01 13:15:00+05:30,796.65,798.35,796.25,797.65,125445
2025-08-01 13:30:00+05:30,797.7,798.5,795.65,796.55,273304
2025-08-01 13:45:00+05:30,796.5,796.6,794.5,795.0,151191
2025-08-01 14:00:00+05:30,795.0,795.5,794.0,795.1,152863
2025-08-01 14:15:00+05:30,795.15,795.45,793.15,793.75,189059
2025-08-01 14:30:00+05:30,793.85,795.2,793.35,794.35,278443
2025-08-01 14:45:00+05:30,794.4,795.45,793.95,794.1,234860
2025-08-01 15:00:00+05:30,794.35,796.55,792.15,793.45,4802145
2025-08-01 15:15:00+05:30,793.55,794.55,792.0,792.95,4004426
2025-08-04 09:15:00+05:30,794.5,797.2,792.95,794.4,656259
2025-08-04 09:30:00+05:30,794.4,795.25,789.0,789.15,449652
2025-08-04 09:45:00+05:30,789.05,790.85,787.1,789.85,388911
2025-08-04 10:00:00+05:30,789.85,791.4,789.45,789.45,423713
2025-08-04 10:15:00+05:30,789.4,791.75,789.05,789.35,241132
2025-08-04 10:30:00+05:30,789.35,790.25,788.0,788.8,215823
2025-08-04 10:45:00+05:30,788.8,789.1,786.55,787.35,371033
2025-08-04 11:00:00+05:30,787.35,790.0,787.2,789.2,219672
2025-08-04 11:15:00+05:30,789.2,791.6,789.0,790.1,193691
2025-08-04 11:30:00+05:30,790.1,790.95,789.0,790.15,195020
2025-08-04 11:45:00+05:30,790.1,791.55,790.0,790.65,197653
2025-08-04 12:00:00+05:30,790.55,791.0,790.0,790.6,165889
2025-08-04 12:15:00+05:30,790.65,791.0,790.05,790.55,201334
2025-08-04 12:30:00+05:30,790.65,791.6,790.0,790.05,368319
2025-08-04 12:45:00+05:30,790.0,790.3,789.05,789.85,283489
2025-08-04 13:00:00+05:30,789.85,791.05,789.7,790.6,190341
2025-08-04 13:15:00+05:30,790.6,791.95,790.2,790.9,310173
2025-08-04 13:30:00+05:30,790.9,792.9,790.65,792.85,328262
2025-08-04 13:45:00+05:30,792.7,793.75,792.5,793.3,302637
2025-08-04 14:00:00+05:30,793.15,794.75,792.95,794.4,349862
2025-08-04 14:15:00+05:30,794.4,794.4,793.35,793.5,209082
2025-08-04 14:30:00+05:30,793.5,795.95,793.5,795.4,444135
2025-08-04 14:45:00+05:30,795.4,796.5,794.85,795.9,615252
2025-08-04 15:00:00+05:30,795.9,795.95,794.8,795.85,643352
2025-08-04 15:15:00+05:30,795.8,797.1,795.0,796.8,740672
2025-08-05 09:15:00+05:30,798.0,801.6,796.3,801.1,522778
2025-08-05 09:30:00+05:30,801.1,801.7,799.55,800.25,300685
2025-08-05 09:45:00+05:30,800.3,801.0,800.0,800.6,274189
2025-08-05 10:00:00+05:30,800.5,800.55,798.35,798.55,238259
2025-08-05 10:15:00+05:30,798.8,799.95,798.35,799.7,123982
2025-08-05 10:30:00+05:30,799.65,802.55,798.5,800.3,333781
2025-08-05 10:45:00+05:30,800.45,800.8,799.5,799.9,140829
2025-08-05 11:00:00+05:30,799.9,800.6,798.5,800.3,161689
2025-08-05 11:15:00+05:30,800.3,801.2,799.9,800.8,118462
2025-08-05 11:30:00+05:30,800.95,801.25,800.0,801.2,103658
2025-08-05 11:45:00+05:30,801.25,801.35,799.65,799.8,108202
2025-08-05 12:00:00+05:30,799.9,801.85,799.8,801.7,191052
2025-08-05 12:15:00+05:30,801.6,804.05,801.25,802.2,476378
2025-08-05 12:30:00+05:30,802.2,802.3,800.8,801.25,248258
2025-08-05 12:45:00+05:30,801.25,802.0,801.0,801.9,117580
2025-08-05 13:00:00+05:30,801.9,802.0,800.15,801.5,369954
2025-08-05 13:15:00+05:30,801.7,801.75,799.2,799.7,165198
2025-08-05 13:30:00+05:30,799.7,799.85,798.5,798.65,168092
2025-08-05 13:45:00+05:30,798.75,799.45,797.9,798.35,439743
2025-08-05 14:00:00+05:30,798.2,799.0,797.1,797.1,152420
2025-08-05 14:15:00+05:30,797.0,797.85,796.55,797.55,147040
2025-08-05 14:30:00+05:30,797.55,800.7,796.8,799.95,634721
2025-08-05 14:45:00+05:30,799.9,800.5,799.9,800.45,400467
2025-08-05 15:00:00+05:30,800.45,801.85,800.0,800.7,621338
2025-08-05 15:15:00+05:30,800.8,801.3,799.9,801.0,774773
2025-08-06 09:15:00+05:30,800.95,804.5,800.6,803.55,300750
2025-08-06 09:30:00+05:30,803.35,804.0,802.0,802.45,202082
2025-08-06 09:45:00+05:30,802.3,803.35,801.6,802.5,91979
2025-08-06 10:00:00+05:30,802.6,803.35,799.1,800.7,301998
2025-08-06 10:15:00+05:30,800.65,806.9,800.15,801.9,491062
2025-08-06 10:30:00+05:30,801.85,802.6,800.2,800.9,210391
2025-08-06 10:45:00+05:30,800.65,802.0,799.6,801.85,155944
2025-08-06 11:00:00+05:30,801.85,801.85,799.65,800.8,141002
2025-08-06 11:15:00+05:30,800.55,800.95,799.0,800.45,160369
2025-08-06 11:30:00+05:30,800.45,801.75,799.5,801.1,163701
2025-08-06 11:45:00+05:30,801.1,802.95,800.1,802.3,396046
2025-08-06 12:00:00+05:30,802.3,803.7,801.65,803.25,229249
2025-08-06 12:15:00+05:30,803.15,805.0,803.0,804.35,515697
2025-08-06 12:30:00+05:30,804.2,805.5,804.0,805.35,263713
2025-08-06 12:45:00+05:30,805.35,807.0,804.05,806.5,317736
2025-08-06 13:00:00+05:30,806.5,807.9,806.4,806.9,290965
2025-08-06 13:15:00+05:30,807.0,809.0,806.4,808.8,274767
2025-08-06 13:30:00+05:30,808.9,810.2,807.55,808.7,563354
2025-08-06 13:45:00+05:30,808.75,809.0,806.55,806.55,216336
2025-08-06 14:00:00+05:30,806.5,807.0,805.1,805.35,235051
2025-08-06 14:15:00+05:30,805.35,806.15,804.5,804.9,194793
2025-08-06 14:30:00+05:30,804.95,805.25,803.1,804.05,323576
2025-08-06 14:45:00+05:30,803.9,805.4,803.75,805.0,248794
2025-08-06 15:00:00+05:30,805.1,805.45,804.35,805.25,506309
2025-08-06 15:15:00+05:30,805.3,805.9,804.25,804.6,591708
2025-08-07 09:15:00+05:30,801.1,802.95,798.1,802.3,413223
2025-08-07 09:30:00+05:30,802.3,804.9,801.15,802.9,282397
2025-08-07 09:45:00+05:30,802.8,803.75,802.1,802.15,161680
2025-08-07 10:00:00+05:30,802.0,802.6,799.1,800.4,284859
2025-08-07 10:15:00+05:30,800.4,801.6,799.8,799.85,153454
2025-08-07 10:30:00+05:30,799.6,800.35,798.5,799.65,205463
2025-08-07 10:45:00+05:30,799.6,800.85,798.5,800.25,137067
2025-08-07 11:00:00+05:30,800.4,800.7,798.5,798.8,206749
2025-08-07 11:15:00+05:30,798.6,799.55,798.2,798.85,231662
2025-08-07 11:30:00+05:30,798.85,799.3,798.2,798.6,143512
2025-08-07 11:45:00+05:30,798.5,799.3,798.35,798.8,127737
2025-08-07 12:00:00+05:30,798.8,799.85,798.3,799.5,168599
2025-08-07 12:15:00+05:30,799.3,799.6,796.0,796.85,494276
2025-08-07 12:30:00+05:30,796.85,797.15,794.5,796.3,501589
2025-08-07 12:45:00+05:30,796.35,796.4,793.75,794.95,339677
2025-08-07 13:00:00+05:30,794.9,795.2,793.75,794.95,201606
2025-08-07 13:15:00+05:30,794.95,795.3,793.5,793.5,341432
2025-08-07 13:30:00+05:30,793.5,795.4,793.4,795.15,118242
2025-08-07 13:45:00+05:30,795.15,795.95,794.5,795.8,134852
2025-08-07 14:00:00+05:30,795.95,799.2,795.95,799.1,297590
2025-08-07 14:15:00+05:30,799.05,804.25,799.05,802.45,701399
2025-08-07 14:30:00+05:30,802.45,804.65,802.45,804.45,309987
2025-08-07 14:45:00+05:30,804.4,805.0,803.25,804.25,212103
2025-08-07 15:00:00+05:30,804.5,805.45,803.3,804.95,389436
2025-08-07 15:15:00+05:30,804.95,806.65,804.7,805.6,494128
2025-08-08 09:15:00+05:30,805.0,807.8,804.65,805.2,389078
2025-08-08 09:30:00+05:30,805.2,806.45,802.9,803.1,249633
2025-08-08 09:45:00+05:30,803.1,804.7,802.0,802.15,470004
2025-08-08 10:00:00+05:30,802.15,803.0,801.75,801.85,168820
2025-08-08 10:15:00+05:30,801.8,802.85,800.7,802.3,212963
2025-08-08 10:30:00+05:30,802.15,802.7,801.15,801.95,200016
2025-08-08 10:45:00+05:30,801.95,802.2,800.0,800.3,260314
2025-08-08 11:00:00+05:30,800.25,801.4,799.5,801.0,133761
2025-08-08 11:15:00+05:30,801.0,802.05,800.8,801.25,141145
2025-08-08 11:30:00+05:30,801.2,801.25,800.05,800.6,157293
2025-08-08 11:45:00+05:30,800.6,800.8,799.6,799.95,293293
2025-08-08 12:00:00+05:30,799.95,800.05,798.35,799.35,213584
2025-08-08 12:15:00+05:30,799.4,800.75,798.8,800.65,218796
2025-08-08 12:30:00+05:30,800.6,801.1,798.7,798.9,225403
2025-08-08 12:45:00+05:30,798.9,800.5,798.8,799.4,311921
2025-08-08 13:00:00+05:30,799.3,800.05,797.8,799.3,400371
2025-08-08 13:15:00+05:30,799.6,805.0,790.0,795.0,3252590
2025-08-08 13:30:00+05:30,795.0,803.4,793.25,801.8,1874621
2025-08-08 13:45:00+05:30,801.8,803.6,800.25,803.6,1069316
2025-08-08 14:00:00+05:30,803.6,806.15,803.3,805.25,1143554
2025-08-08 14:15:00+05:30,805.25,807.7,802.5,803.55,1032872
2025-08-08 14:30:00+05:30,803.9,807.0,802.0,805.95,801828
2025-08-08 14:45:00+05:30,806.0,806.45,804.9,805.15,690471
2025-08-08 15:00:00+05:30,805.2,806.6,803.95,804.95,917014
2025-08-08 15:15:00+05:30,804.95,805.05,801.9,802.6,846620
2025-08-11 09:15:00+05:30,808.0,819.3,808.0,818.0,2410591
2025-08-11 09:30:00+05:30,817.85,822.85,816.75,822.25,1562335
2025-08-11 09:45:00+05:30,822.65,823.0,818.35,820.6,842937
2025-08-11 10:00:00+05:30,820.5,821.5,818.6,819.35,417113
2025-08-11 10:15:00+05:30,819.4,821.45,819.2,821.1,355040
2025-08-11 10:30:00+05:30,821.15,822.2,820.25,821.35,491694
2025-08-11 10:45:00+05:30,821.35,821.8,820.4,821.6,410270
2025-08-11 11:00:00+05:30,821.7,822.3,819.6,821.2,434441
2025-08-11 11:15:00+05:30,821.2,823.0,820.85,822.4,729699
2025-08-11 11:30:00+05:30,822.4,822.5,821.1,821.9,540273
2025-08-11 11:45:00+05:30,821.95,822.05,820.1,820.95,336704
2025-08-11 12:00:00+05:30,820.9,821.75,820.55,821.45,253072
2025-08-11 12:15:00+05:30,821.5,821.5,819.75,820.25,304403
2025-08-11 12:30:00+05:30,820.15,821.7,819.25,821.6,240882
2025-08-11 12:45:00+05:30,821.6,822.25,821.25,822.15,234657
2025-08-11 13:00:00+05:30,822.2,823.0,821.5,822.0,362983
2025-08-11 13:15:00+05:30,822.0,822.5,821.3,822.1,284899
2025-08-11 13:30:00+05:30,822.1,823.95,822.1,823.0,432328
2025-08-11 13:45:00+05:30,823.0,824.0,822.4,823.1,441214
2025-08-11 14:00:00+05:30,823.1,823.7,822.65,823.5,274830
2025-08-11 14:15:00+05:30,823.7,823.75,823.1,823.6,251660
2025-08-11 14:30:00+05:30,823.6,824.5,823.4,823.6,460169
2025-08-11 14:45:00+05:30,823.55,824.7,823.55,824.15,363288
2025-08-11 15:00:00+05:30,824.2,825.0,824.2,824.65,800487
2025-08-11 15:15:00+05:30,824.5,824.75,820.4,821.0,1907113
2025-08-12 09:15:00+05:30,824.95,824.95,822.5,824.45,561859
2025-08-12 09:30:00+05:30,824.4,825.5,823.75,824.9,847621
2025-08-12 09:45:00+05:30,824.9,825.4,824.2,825.1,232476
2025-08-12 10:00:00+05:30,825.2,825.2,822.25,822.9,400037
2025-08-12 10:15:00+05:30,823.15,824.0,821.6,822.0,294999
2025-08-12 10:30:00+05:30,821.95,822.3,821.0,821.9,216016
2025-08-12 10:45:00+05:30,821.95,822.9,821.5,822.4,213584
2025-08-12 11:00:00+05:30,822.4,823.0,821.75,822.9,211350
2025-08-12 11:15:00+05:30,822.9,824.5,822.6,824.2,388599
2025-08-12 11:30:00+05:30,824.2,824.5,823.7,824.25,171714
2025-08-12 11:45:00+05:30,824.25,824.5,823.4,824.2,182206
2025-08-12 12:00:00+05:30,824.2,825.0,823.85,824.9,290209
2025-08-12 12:15:00+05:30,824.85,825.2,824.1,824.5,312226
2025-08-12 12:30:00+05:30,824.6,825.4,824.3,824.85,269944
2025-08-12 12:45:00+05:30,824.85,824.9,824.0,824.15,154699
2025-08-12 13:00:00+05:30,824.15,824.45,823.35,823.6,209633
2025-08-12 13:15:00+05:30,823.6,823.6,821.55,822.95,309317
2025-08-12 13:30:00+05:30,822.95,823.1,822.45,823.1,193323
2025-08-12 13:45:00+05:30,823.1,823.75,822.95,823.55,207733
2025-08-12 14:00:00+05:30,823.55,823.7,822.1,822.45,213871
2025-08-12 14:15:00+05:30,822.5,822.65,821.3,822.25,291196
2025-08-12 14:30:00+05:30,822.25,822.4,821.5,821.75,182384
2025-08-12 14:45:00+05:30,821.75,822.1,820.5,821.0,290710
2025-08-12 15:00:00+05:30,821.0,821.45,820.0,820.4,707097
2025-08-12 15:15:00+05:30,820.5,821.45,820.1,821.1,596431
2025-08-13 09:15:00+05:30,822.65,824.95,821.45,822.0,411964
2025-08-13 09:30:00+05:30,821.85,823.5,821.85,822.9,109414
2025-08-13 09:45:00+05:30,822.9,823.8,822.8,823.5,122027
2025-08-13 10:00:00+05:30,823.5,823.75,822.15,822.35,83675
2025-08-13 10:15:00+05:30,822.35,823.3,821.75,821.9,149787
2025-08-13 10:30:00+05:30,822.0,822.2,820.9,821.75,141623
2025-08-13 10:45:00+05:30,821.75,822.65,821.1,821.8,97574
2025-08-13 11:00:00+05:30,821.9,822.75,821.3,822.75,155227
2025-08-13 11:15:00+05:30,822.75,824.8,822.7,823.25,379262
2025-08-13 11:30:00+05:30,823.25,823.95,823.0,823.1,86319
2025-08-13 11:45:00+05:30,823.15,823.15,821.8,821.9,100427
2025-08-13 12:00:00+05:30,821.8,823.0,821.2,822.75,124150
2025-08-13 12:15:00+05:30,822.65,822.8,821.1,822.05,146404
2025-08-13 12:30:00+05:30,822.05,823.0,821.65,822.8,103835
2025-08-13 12:45:00+05:30,822.8,823.0,821.75,822.7,120626
2025-08-13 13:00:00+05:30,822.55,823.1,822.2,822.35,90176
2025-08-13 13:15:00+05:30,822.4,822.95,821.3,822.0,116419
2025-08-13 13:30:00+05:30,822.0,823.05,821.2,823.0,161097
2025-08-13 13:45:00+05:30,823.0,823.5,822.5,822.55,115384
2025-08-13 14:00:00+05:30,822.0,822.65,821.55,822.2,209273
2025-08-13 14:15:00+05:30,822.25,822.35,821.5,821.85,162215
2025-08-13 14:30:00+05:30,821.85,822.75,821.85,822.5,82490
2025-08-13 14:45:00+05:30,822.5,822.8,822.05,822.6,118995
2025-08-13 15:00:00+05:30,822.6,822.6,821.5,821.7,354240
2025-08-13 15:15:00+05:30,821.4,822.95,820.65,821.55,685921
2025-08-14 09:15:00+05:30,822.0,822.9,819.1,821.2,281459
2025-08-14 09:30:00+05:30,821.1,823.5,820.2,823.45,221001
2025-08-14 09:45:00+05:30,823.3,825.0,823.1,824.35,315632
2025-08-14 10:00:00+05:30,824.3,825.0,824.0,824.45,283099
2025-08-14 10:15:00+05:30,824.45,828.0,824.4,827.3,730750
2025-08-14 10:30:00+05:30,827.45,828.0,826.45,827.3,217802
2025-08-14 10:45:00+05:30,827.25,827.4,826.3,827.0,364925
2025-08-14 11:00:00+05:30,827.0,827.9,826.1,826.35,211093
2025-08-14 11:15:00+05:30,826.35,826.4,825.55,825.9,159459
2025-08-14 11:30:00+05:30,825.9,827.0,825.4,825.4,187654
2025-08-14 11:45:00+05:30,825.6,827.15,825.3,826.9,223132
2025-08-14 12:00:00+05:30,826.9,827.45,825.45,825.45,163887
2025-08-14 12:15:00+05:30,825.75,826.5,825.5,826.25,83769
2025-08-14 12:30:00+05:30,826.2,827.0,825.7,826.45,123167
2025-08-14 12:45:00+05:30,826.25,827.0,825.75,826.9,67834
2025-08-14 13:00:00+05:30,826.85,826.95,826.2,826.9,251224
2025-08-14 13:15:00+05:30,826.9,827.65,825.0,825.5,366113
2025-08-14 13:30:00+05:30,825.45,827.4,825.35,827.35,171145
2025-08-14 13:45:00+05:30,827.3,827.65,826.7,827.25,221047
2025-08-14 14:00:00+05:30,827.2,827.5,826.75,827.15,172140
2025-08-14 14:15:00+05:30,827.25,827.3,825.25,825.8,221313
2025-08-14 14:30:00+05:30,825.8,826.8,824.35,826.75,348018
