date,open,high,low,close,volume
2025-08-01 09:15:00+05:30,472.95,474.9,468.5,469.6,113221
2025-08-01 09:30:00+05:30,469.3,471.5,468.6,469.6,52807
2025-08-01 09:45:00+05:30,469.6,469.9,465.8,466.0,34985
2025-08-01 10:00:00+05:30,466.0,468.9,465.0,468.2,70330
2025-08-01 10:15:00+05:30,468.3,470.0,467.85,469.9,41729
2025-08-01 10:30:00+05:30,469.9,470.5,468.25,468.25,30888
2025-08-01 10:45:00+05:30,468.25,469.0,468.0,468.15,8376
2025-08-01 11:00:00+05:30,468.15,468.9,467.25,467.6,8473
2025-08-01 11:15:00+05:30,467.55,467.6,466.4,467.2,12953
2025-08-01 11:30:00+05:30,467.25,467.45,465.6,465.65,18597
2025-08-01 11:45:00+05:30,465.65,467.5,465.65,467.45,8680
2025-08-01 12:00:00+05:30,467.45,467.45,466.3,467.0,7826
2025-08-01 12:15:00+05:30,467.0,467.35,466.0,466.1,11850
2025-08-01 12:30:00+05:30,466.1,466.55,465.3,465.7,12097
2025-08-01 12:45:00+05:30,465.65,466.7,465.15,466.0,11670
2025-08-01 13:00:00+05:30,466.0,468.35,465.45,468.35,10466
2025-08-01 13:15:00+05:30,468.35,471.0,468.0,469.0,27261
2025-08-01 13:30:00+05:30,469.0,469.1,467.55,468.15,10754
2025-08-01 13:45:00+05:30,468.15,469.0,468.0,468.25,5463
2025-08-01 14:00:00+05:30,468.25,468.5,467.2,467.5,10213
2025-08-01 14:15:00+05:30,467.5,467.5,465.4,465.5,20939
2025-08-01 14:30:00+05:30,465.5,466.5,464.25,464.35,32086
2025-08-01 14:45:00+05:30,464.75,465.7,464.0,464.75,18089
2025-08-01 15:00:00+05:30,464.75,464.75,462.5,462.8,42948
2025-08-01 15:15:00+05:30,462.85,463.45,461.0,461.85,93382
2025-08-04 09:15:00+05:30,463.95,464.75,458.6,464.7,126382
2025-08-04 09:30:00+05:30,464.7,468.5,464.0,466.95,70899
2025-08-04 09:45:00+05:30,466.95,469.8,466.55,467.75,48464
2025-08-04 10:00:00+05:30,467.6,468.7,466.55,467.2,13834
2025-08-04 10:15:00+05:30,467.2,468.5,466.75,467.35,16686
2025-08-04 10:30:00+05:30,467.35,468.0,466.25,466.25,11910
2025-08-04 10:45:00+05:30,466.6,466.8,465.1,465.75,22296
2025-08-04 11:00:00+05:30,465.55,466.55,465.1,465.75,7924
2025-08-04 11:15:00+05:30,465.75,467.7,465.5,467.35,9616
2025-08-04 11:30:00+05:30,467.35,467.65,466.05,467.2,20827
2025-08-04 11:45:00+05:30,467.2,468.35,467.05,467.75,3739
2025-08-04 12:00:00+05:30,468.0,468.1,466.9,467.55,4225
2025-08-04 12:15:00+05:30,467.55,467.9,466.75,467.9,3987
2025-08-04 12:30:00+05:30,467.9,468.7,467.65,468.05,11992
2025-08-04 12:45:00+05:30,468.0,471.35,467.8,470.85,39448
2025-08-04 13:00:00+05:30,470.9,472.95,470.3,470.85,24015
2025-08-04 13:15:00+05:30,470.85,476.25,470.0,475.45,89086
2025-08-04 13:30:00+05:30,475.55,479.0,472.2,472.6,130417
2025-08-04 13:45:00+05:30,472.6,473.6,471.5,472.85,23294
2025-08-04 14:00:00+05:30,472.85,473.15,471.6,471.9,14495
2025-08-04 14:15:00+05:30,472.3,473.0,471.55,472.75,13883
2025-08-04 14:30:00+05:30,472.75,475.4,472.3,474.65,28929
2025-08-04 14:45:00+05:30,474.6,475.45,473.45,474.55,18552
2025-08-04 15:00:00+05:30,474.55,475.75,473.0,475.65,29712
2025-08-04 15:15:00+05:30,475.65,475.7,474.05,475.45,98098
2025-08-05 09:15:00+05:30,475.9,482.0,472.7,481.75,136341
2025-08-05 09:30:00+05:30,481.75,482.5,478.25,478.7,57307
2025-08-05 09:45:00+05:30,478.5,478.5,474.0,474.5,50321
2025-08-05 10:00:00+05:30,474.5,475.55,473.4,474.55,22428
2025-08-05 10:15:00+05:30,474.55,475.9,474.5,474.8,15185
2025-08-05 10:30:00+05:30,474.8,475.55,474.0,474.5,16197
2025-08-05 10:45:00+05:30,474.5,474.8,472.0,473.15,37048
2025-08-05 11:00:00+05:30,473.1,474.55,473.0,474.2,15627
2025-08-05 11:15:00+05:30,474.2,474.2,473.25,473.5,8668
2025-08-05 11:30:00+05:30,473.85,473.95,473.2,473.55,8484
2025-08-05 11:45:00+05:30,473.55,473.55,473.05,473.15,3802
2025-08-05 12:00:00+05:30,473.4,473.45,470.8,472.55,30278
2025-08-05 12:15:00+05:30,472.55,472.9,471.45,472.25,7038
2025-08-05 12:30:00+05:30,472.25,473.0,471.1,472.25,7941
2025-08-05 12:45:00+05:30,472.2,472.95,471.55,472.85,6670
2025-08-05 13:00:00+05:30,472.5,472.8,471.55,472.0,5465
2025-08-05 13:15:00+05:30,472.0,472.0,470.5,471.05,10990
2025-08-05 13:30:00+05:30,471.05,471.95,471.05,471.75,3992
2025-08-05 13:45:00+05:30,471.75,472.0,471.2,471.8,6443
2025-08-05 14:00:00+05:30,471.8,471.8,470.2,470.6,15112
2025-08-05 14:15:00+05:30,470.6,471.1,470.25,470.95,4942
2025-08-05 14:30:00+05:30,470.7,472.4,470.7,472.2,20324
2025-08-05 14:45:00+05:30,472.2,472.85,471.75,472.1,13796
2025-08-05 15:00:00+05:30,472.8,475.45,472.15,473.7,42576
2025-08-05 15:15:00+05:30,473.95,474.25,468.5,470.0,111761
2025-08-06 09:15:00+05:30,471.35,474.25,467.05,469.0,110255
2025-08-06 09:30:00+05:30,469.0,469.2,465.0,465.9,35932
2025-08-06 09:45:00+05:30,465.0,465.6,464.0,464.5,22554
2025-08-06 10:00:00+05:30,464.7,465.35,463.5,464.4,20529
2025-08-06 10:15:00+05:30,464.65,464.95,462.8,463.25,48062
2025-08-06 10:30:00+05:30,463.3,463.3,458.85,459.35,91051
2025-08-06 10:45:00+05:30,459.35,461.05,459.05,461.05,150143
2025-08-06 11:00:00+05:30,461.05,461.25,459.85,460.6,57852
2025-08-06 11:15:00+05:30,460.6,463.3,457.25,459.45,366008
2025-08-06 11:30:00+05:30,459.45,459.8,458.15,459.2,15138
2025-08-06 11:45:00+05:30,459.2,461.15,458.8,460.3,14704
2025-08-06 12:00:00+05:30,460.3,461.4,458.9,459.3,31217
2025-08-06 12:15:00+05:30,459.4,460.2,458.8,459.25,33451
2025-08-06 12:30:00+05:30,459.25,459.35,457.85,459.15,27884
2025-08-06 12:45:00+05:30,459.15,459.4,458.5,459.0,7969
2025-08-06 13:00:00+05:30,459.2,459.2,458.0,458.6,20351
2025-08-06 13:15:00+05:30,458.8,459.2,458.4,459.0,12543
2025-08-06 13:30:00+05:30,459.0,459.1,458.4,459.0,14801
2025-08-06 13:45:00+05:30,459.1,459.1,458.35,459.1,27807
2025-08-06 14:00:00+05:30,459.1,459.1,458.55,459.0,6458
2025-08-06 14:15:00+05:30,459.0,459.0,458.35,458.8,19525
2025-08-06 14:30:00+05:30,458.8,459.0,457.9,458.55,16462
2025-08-06 14:45:00+05:30,458.55,459.45,458.5,458.9,36842
2025-08-06 15:00:00+05:30,458.9,459.0,458.35,458.9,34978
2025-08-06 15:15:00+05:30,458.85,458.85,454.15,456.75,158621
2025-08-07 09:15:00+05:30,452.45,462.2,448.6,461.5,140834
2025-08-07 09:30:00+05:30,461.75,464.5,460.75,462.45,74281
2025-08-07 09:45:00+05:30,462.45,463.5,460.6,460.7,21083
2025-08-07 10:00:00+05:30,460.7,462.7,460.25,460.55,19260
2025-08-07 10:15:00+05:30,460.65,461.45,457.85,458.4,26219
2025-08-07 10:30:00+05:30,458.4,459.55,457.1,458.85,10296
2025-08-07 10:45:00+05:30,458.85,459.5,458.5,459.45,9152
2025-08-07 11:00:00+05:30,459.45,459.45,457.0,457.2,14124
2025-08-07 11:15:00+05:30,457.2,457.95,457.15,457.95,5414
2025-08-07 11:30:00+05:30,457.95,458.0,454.15,455.5,26606
2025-08-07 11:45:00+05:30,455.15,456.0,454.5,454.55,31934
2025-08-07 12:00:00+05:30,454.55,456.8,453.3,456.65,19182
2025-08-07 12:15:00+05:30,456.65,457.05,453.6,454.4,26282
2025-08-07 12:30:00+05:30,454.4,454.4,452.05,453.55,14640
2025-08-07 12:45:00+05:30,453.55,453.8,452.25,452.9,6775
2025-08-07 13:00:00+05:30,452.85,453.0,451.0,451.6,13246
2025-08-07 13:15:00+05:30,451.6,451.85,448.5,448.75,46993
2025-08-07 13:30:00+05:30,448.85,450.15,447.9,450.15,27649
2025-08-07 13:45:00+05:30,450.15,452.3,449.3,452.3,25778
2025-08-07 14:00:00+05:30,452.3,452.3,447.6,449.8,53636
2025-08-07 14:15:00+05:30,450.0,453.35,449.25,450.85,64075
2025-08-07 14:30:00+05:30,450.75,450.85,449.5,450.75,65850
2025-08-07 14:45:00+05:30,450.75,451.55,449.6,450.0,73947
2025-08-07 15:00:00+05:30,450.0,453.35,449.6,451.95,86632
2025-08-07 15:15:00+05:30,452.45,453.25,449.3,450.45,143181
2025-08-08 09:15:00+05:30,451.65,457.85,450.45,454.25,103604
2025-08-08 09:30:00+05:30,454.5,455.0,452.0,453.0,33569
2025-08-08 09:45:00+05:30,453.0,454.85,452.4,453.85,28660
