date,Signal,EntryPrice,StopLoss,Target,TrailingSL
2025-06-30 14:05:00+05:30,SELL,25845.1,26010.1,25625.1,
2025-07-02 11:00:00+05:30,Trailing Stop_loss hit,25845.1,25841.53,25625.1,25841.53
