date,open,high,low,close,volume,symbol,expiry,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal,EntryPrice,ExitPrice,StopLoss,Target
2025-08-25T09:15:00.000000,12614.75,12722.25,12614.75,12679.55,91,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:20:00.000000,12679.55,12693.85,12642.0,12648.0,78,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:25:00.000000,12648.0,12669.85,12642.05,12669.85,59,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:30:00.000000,12669.85,12670.0,12665.0,12670.0,3,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:35:00.000000,12670.0,12682.4,12656.15,12682.4,61,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:40:00.000000,12682.4,12682.4,12664.95,12664.95,40,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:45:00.000000,12664.95,12664.95,12658.6,12658.6,8,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:50:00.000000,12658.6,12680.6,12658.6,12680.6,31,ULTRACEMCO,NaN,NaN,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T09:55:00.000000,12680.6,12680.6,12634.0,12634.0,13,ULTRACEMCO,NaN,12665.327777777778,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:00:00.000000,12634.0,12634.0,12603.35,12610.0,44,ULTRACEMCO,NaN,12654.262222222223,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:05:00.000000,12610.0,12618.15,12594.4,12594.4,47,ULTRACEMCO,NaN,12642.289777777778,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:10:00.000000,12594.4,12611.6,12579.7,12579.7,5,ULTRACEMCO,NaN,12629.771822222223,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:15:00.000000,12579.7,12592.2,12579.7,12592.2,5,ULTRACEMCO,NaN,12622.257457777778,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:20:00.000000,12592.2,12594.2,12592.2,12594.2,2,ULTRACEMCO,NaN,12616.645966222222,NaN,NaN,12722.25,NaN,,,,,
2025-08-25T10:25:00.000000,12594.2,12594.2,12570.0,12573.85,17,ULTRACEMCO,NaN,12608.086772977778,NaN,NaN,12722.25,NaN,,,,,
