date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-08-22T09:15:00.000000,12850.0,12857.35,12803.0,12803.0,104,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:20:00.000000,12800.0,12818.95,12800.0,12818.95,46,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:25:00.000000,12818.95,12836.0,12775.0,12775.0,71,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:30:00.000000,12775.0,12784.0,12766.7,12778.95,64,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:35:00.000000,12778.95,12778.95,12757.85,12758.0,138,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:40:00.000000,12758.0,12775.0,12758.0,12758.05,20,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:45:00.000000,12758.05,12770.85,12758.05,12761.0,207,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:50:00.000000,12761.0,12765.85,12745.95,12765.85,22,ULTRACEMCO,NaN,NaN,NaN,12857.35,NaN,
2025-08-22T09:55:00.000000,12765.85,12765.85,12765.85,12765.85,0,ULTRACEMCO,12776.072222222223,NaN,NaN,12857.35,NaN,
2025-08-22T10:00:00.000000,12765.85,12765.85,12765.85,12765.85,0,ULTRACEMCO,12774.02777777778,NaN,NaN,12857.35,NaN,
2025-08-22T10:05:00.000000,12765.85,12780.0,12761.05,12763.15,183,ULTRACEMCO,12771.852222222224,NaN,NaN,12857.35,NaN,
2025-08-22T10:10:00.000000,12763.15,12778.95,12763.15,12778.95,31,ULTRACEMCO,12773.27177777778,NaN,NaN,12857.35,NaN,
2025-08-22T10:15:00.000000,12778.95,12780.0,12773.6,12773.6,18,ULTRACEMCO,12773.337422222225,NaN,NaN,12857.35,NaN,
2025-08-22T10:20:00.000000,12773.6,12781.15,12769.65,12781.15,11,ULTRACEMCO,12774.89993777778,NaN,NaN,12857.35,NaN,
2025-08-22T10:25:00.000000,12781.15,12781.15,12766.7,12766.7,12,ULTRACEMCO,12773.259950222224,NaN,NaN,12857.35,NaN,
2025-08-22T10:30:00.000000,12766.7,12766.7,12757.85,12757.85,9,ULTRACEMCO,12770.17796017778,NaN,NaN,12857.35,NaN,
2025-08-22T10:35:00.000000,12757.85,12777.95,12757.85,12777.95,1,ULTRACEMCO,12771.732368142224,NaN,NaN,12857.35,NaN,
2025-08-22T10:40:00.000000,12777.95,12777.95,12749.15,12764.85,25,ULTRACEMCO,12770.35589451378,NaN,NaN,12857.35,NaN,
2025-08-22T10:45:00.000000,12764.85,12764.85,12748.2,12753.85,46,ULTRACEMCO,12767.054715611024,NaN,NaN,12857.35,NaN,
2025-08-22T10:50:00.000000,12753.85,12773.55,12736.85,12745.0,2486,ULTRACEMCO,12762.64377248882,NaN,NaN,12857.35,NaN,
2025-08-22T10:55:00.000000,12745.0,12768.1,12738.0,12741.0,282,ULTRACEMCO,12758.315017991055,12769.264285714287,NaN,12857.35,NaN,
2025-08-22T11:00:00.000000,12741.0,12741.0,12720.25,12728.05,116,ULTRACEMCO,12752.262014392843,12765.517532467535,NaN,12857.35,NaN,
2025-08-22T11:05:00.000000,12728.05,12730.9,12715.0,12730.9,68,ULTRACEMCO,12747.989611514275,12762.370484061395,NaN,12857.35,NaN,
2025-08-22T11:10:00.000000,12730.9,12730.9,12711.25,12723.0,2,ULTRACEMCO,12742.99168921142,12758.791349146722,NaN,12857.35,NaN,
2025-08-22T11:15:00.000000,12723.0,12723.0,12698.1,12698.1,41,ULTRACEMCO,12734.013351369136,12753.273953769747,NaN,12857.35,NaN,
2025-08-22T11:20:00.000000,12707.75,12707.75,12690.05,12690.1,24,ULTRACEMCO,12725.230681095309,12747.530867063406,NaN,12857.35,NaN,
2025-08-22T11:25:00.000000,12690.1,12713.45,12690.1,12703.75,10,ULTRACEMCO,12720.934544876247,12743.55078823946,NaN,12857.35,NaN,
2025-08-22T11:30:00.000000,12703.75,12708.0,12690.0,12690.0,221,ULTRACEMCO,12714.747635900998,12738.682534763146,NaN,12857.35,61.51630087262157,
2025-08-22T11:35:00.000000,12690.0,12698.5,12690.0,12698.5,111,ULTRACEMCO,12711.498108720798,12735.029577057405,NaN,12857.35,61.734082636668425,
2025-08-22T11:40:00.000000,12698.5,12698.55,12693.0,12695.05,66,ULTRACEMCO,12708.208486976639,12731.395070052185,NaN,12857.35,61.92860056822765,
2025-08-22T11:45:00.000000,12695.05,12695.05,12687.45,12689.55,23,ULTRACEMCO,12704.476789581311,12727.590972774715,NaN,12857.35,62.29376267439209,
2025-08-22T11:50:00.000000,12689.55,12692.95,12672.05,12672.05,48,ULTRACEMCO,12697.991431665048,12722.54179343156,NaN,12857.35,63.052948554085624,
2025-08-22T11:55:00.000000,12672.05,12688.85,12672.05,12688.85,14,ULTRACEMCO,12696.163145332039,12719.4789031196,NaN,12857.35,63.7579068709439,
2025-08-22T12:00:00.000000,12688.85,12690.8,12670.0,12690.8,90,ULTRACEMCO,12695.09051626563,12716.871730108727,32.465283422730444,12857.35,64.4643664734446,SELL
2025-08-22T12:05:00.000000,12690.8,12710.05,12681.75,12699.35,94,ULTRACEMCO,12695.942413012504,12715.278845553388,32.58356040647178,12857.35,62.47474854470354,
2025-08-22T12:10:00.000000,12699.35,12699.35,12674.9,12692.5,14,ULTRACEMCO,12695.253930410003,12713.208041412172,32.72393536260328,12857.35,60.96938391137905,SELL
2025-08-22T12:15:00.000000,12692.5,12692.5,12691.35,12691.35,10,ULTRACEMCO,12694.473144328002,12711.220946738338,32.40240738438395,12857.35,59.57154532329202,SELL
2025-08-22T12:20:00.000000,12691.35,12691.35,12670.05,12670.05,44,ULTRACEMCO,12689.588515462401,12707.478133398488,31.993257723938854,12857.35,59.16990626076148,SELL
