date,open,high,low,close,volume,symbol,expiry,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal,EntryPrice,ExitPrice,StopLoss,Target,ExitSignals
2025-10-13T09:15:00.000000,346.05,350.5,346.05,350.5,78463,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:20:00.000000,350.2,351.3,349.8,350.1,44814,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:25:00.000000,350.1,350.15,349.3,349.8,16847,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:30:00.000000,349.8,349.8,348.55,348.85,20973,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:35:00.000000,348.85,348.9,348.25,348.8,12476,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:40:00.000000,348.8,348.8,347.5,348.05,28794,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:45:00.000000,348.05,348.05,347.0,347.1,12136,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:50:00.000000,347.15,347.3,346.4,346.6,14472,ETERNAL,NaN,NaN,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T09:55:00.000000,346.6,346.9,346.4,346.7,5933,ETERNAL,NaN,348.49999999999994,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:00:00.000000,346.7,347.25,346.55,346.7,26070,ETERNAL,NaN,348.13999999999993,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:05:00.000000,346.9,347.05,346.55,346.85,8307,ETERNAL,NaN,347.88199999999995,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:10:00.000000,346.6,346.85,346.5,346.5,6053,ETERNAL,NaN,347.6056,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:15:00.000000,346.5,346.6,345.95,346.0,8109,ETERNAL,NaN,347.28448,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:20:00.000000,346.0,346.1,345.75,345.8,17257,ETERNAL,NaN,346.98758399999997,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:25:00.000000,345.8,346.7,345.75,346.6,7726,ETERNAL,NaN,346.91006719999996,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:30:00.000000,346.6,346.75,346.05,346.15,31801,ETERNAL,NaN,346.75805375999994,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:35:00.000000,346.15,346.15,345.4,345.65,4771,ETERNAL,NaN,346.53644300799994,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:40:00.000000,345.5,345.75,345.5,345.75,2785,ETERNAL,NaN,346.37915440639995,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:45:00.000000,345.75,346.2,345.25,345.95,5964,ETERNAL,NaN,346.29332352511994,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:50:00.000000,345.95,346.15,345.6,346.1,5658,ETERNAL,NaN,346.254658820096,NaN,NaN,351.3,NaN,,,,,,
2025-10-13T10:55:00.000000,346.1,346.2,345.5,346.2,5875,ETERNAL,NaN,346.2437270560768,347.1785714285714,NaN,351.3,NaN,,,,,,
2025-10-13T11:00:00.000000,346.2,346.4,345.65,346.0,3591,ETERNAL,NaN,346.19498164486146,347.07142857142856,NaN,351.3,NaN,,,,,,
2025-10-13T11:05:00.000000,346.0,346.4,345.9,346.4,2398,ETERNAL,NaN,346.23598531588914,347.0103896103896,NaN,351.3,NaN,,,,,,
2025-10-13T11:10:00.000000,346.4,346.45,346.1,346.4,3989,ETERNAL,NaN,346.2687882527113,346.9548996458087,NaN,351.3,NaN,,,,,,
2025-10-13T11:15:00.000000,346.4,346.5,346.05,346.4,13280,ETERNAL,NaN,346.29503060216905,346.9044542234625,NaN,351.3,NaN,,,,,,
2025-10-13T11:20:00.000000,346.4,346.45,346.1,346.15,4532,ETERNAL,NaN,346.26602448173526,346.835867475875,NaN,351.3,NaN,,,,,,
2025-10-13T11:25:00.000000,346.15,347.75,346.0,347.75,12748,ETERNAL,NaN,346.5628195853882,346.9189704326136,NaN,351.3,NaN,,,,,,
2025-10-13T11:30:00.000000,347.75,347.75,347.15,347.4,1816,ETERNAL,NaN,346.7302556683105,346.9627003932851,NaN,351.3,30.836139390555235,,,,,,
2025-10-13T11:35:00.000000,347.4,347.4,346.65,346.85,9957,ETERNAL,NaN,346.7542045346484,346.95245490298646,NaN,351.3,28.808303373633127,,,,,,
2025-10-13T11:40:00.000000,346.85,347.35,346.7,347.15,6091,ETERNAL,NaN,346.8333636277187,346.9704135481695,NaN,351.3,26.92531278649117,,,,,,
2025-10-13T11:45:00.000000,347.15,347.45,347.05,347.2,3751,ETERNAL,NaN,346.90669090217494,346.99128504379047,NaN,351.3,25.019368087252577,,,,,,
2025-10-13T11:50:00.000000,347.2,347.45,347.2,347.25,1446,ETERNAL,NaN,346.97535272173997,347.0148045852641,NaN,351.3,23.249562295102457,,,,,,
2025-10-13T11:55:00.000000,347.25,347.45,347.05,347.1,2122,ETERNAL,NaN,347.00028217739197,347.02254962296735,NaN,351.3,21.88420357320836,,,,,,
2025-10-13T12:00:00.000000,347.1,347.3,347.05,347.05,1092,ETERNAL,NaN,347.0102257419136,347.0250451117885,30.897345300370624,351.3,20.6163704743067,,,,,,
2025-10-13T12:05:00.000000,347.05,347.25,346.9,347.2,2554,ETERNAL,NaN,347.04818059353084,347.04095010162587,32.25029937177257,351.3,19.76911721245571,,,,,,
2025-10-13T12:10:00.000000,347.2,348.0,347.0,347.6,5969,ETERNAL,NaN,347.1585444748247,347.09177281965987,33.96039944904238,351.3,19.332277478501545,,,,,,
2025-10-13T12:15:00.000000,347.6,347.6,346.6,346.7,9870,ETERNAL,NaN,347.06683557985974,347.0561571087817,34.62862239108225,351.3,18.06758571397859,,,,,,
2025-10-13T12:20:00.000000,346.7,347.0,346.25,346.5,6536,ETERNAL,NaN,346.9534684638878,347.00559737161973,35.0687501507797,351.3,17.319059884123714,,,,,,
2025-10-13T12:25:00.000000,346.5,346.75,346.25,346.55,2065,ETERNAL,NaN,346.87277477111024,346.9641794287452,35.531866421933856,351.3,16.624000184972754,,,,,,
2025-10-13T12:30:00.000000,346.55,346.7,346.4,346.6,1452,ETERNAL,NaN,346.8182198168882,346.9310722079502,36.01916540541903,351.3,15.978587607189722,,,,,,
2025-10-13T12:35:00.000000,346.6,347.05,346.55,346.95,2874,ETERNAL,NaN,346.84457585351055,346.93279291631836,36.9267114279938,351.3,15.077011902439095,,,,,,
2025-10-13T12:40:00.000000,346.95,347.2,346.5,347.2,1726,ETERNAL,NaN,346.91566068280844,346.95708446938033,38.057490250658056,351.3,14.549410274908494,,,,,,
2025-10-13T12:45:00.000000,347.3,347.4,346.65,346.85,1297,ETERNAL,NaN,346.90252854624674,346.9473495176185,38.696713208033,351.3,14.458392097585607,,,,,,
2025-10-13T12:50:00.000000,346.85,347.0,346.6,346.9,1899,ETERNAL,NaN,346.9020228369974,346.9430450160168,39.34105723221189,351.3,14.244199691798741,,,,,,
2025-10-13T12:55:00.000000,346.9,347.25,346.7,347.25,1293,ETERNAL,NaN,346.9716182695979,346.97095001456074,40.372872498784716,351.3,14.547729883080866,,,,,,
2025-10-13T13:00:00.000000,347.25,347.4,347.0,347.1,4948,ETERNAL,NaN,346.99729461567836,346.98268183141886,41.12314427038912,351.3,15.113839550058856,,,,,,
2025-10-13T13:05:00.000000,347.1,347.5,347.1,347.5,2433,ETERNAL,NaN,347.0978356925427,347.0297107558353,42.29094521312832,351.3,15.82705807431239,,,,,,
2025-10-13T13:10:00.000000,347.5,347.8,347.3,347.75,3609,ETERNAL,NaN,347.2282685540341,347.0951915962139,43.625437689660075,351.3,17.016991668056164,,,,,,
2025-10-13T13:15:00.000000,347.8,347.8,347.45,347.7,4885,ETERNAL,NaN,347.3226148432273,347.1501741783763,44.76149932229683,351.3,18.121930005103955,,,,,,
2025-10-13T13:20:00.000000,347.7,347.7,347.15,347.15,3264,ETERNAL,NaN,347.2880918745818,347.15015834397843,45.069062535784475,351.3,18.176605859888785,,,,,,
2025-10-13T13:25:00.000000,347.15,347.75,347.15,347.6,2360,ETERNAL,NaN,347.35047349966544,347.1910530399804,45.87786577738555,351.3,18.33218411671174,,,,,,
2025-10-13T13:30:00.000000,347.6,347.75,347.45,347.75,6010,ETERNAL,NaN,347.43037879973235,347.24186639998214,46.77339290239599,351.3,18.476649640904487,,,,,,
2025-10-13T13:35:00.000000,347.75,347.75,347.5,347.65,1698,ETERNAL,NaN,347.47430303978587,347.2789694545292,47.44730369654336,351.3,18.610796199083463,,,,,,
2025-10-13T13:40:00.000000,347.65,347.95,347.65,347.95,3701,ETERNAL,NaN,347.5694424318287,347.33997223139016,48.39634570417063,351.3,19.206884747752415,,,,,,
2025-10-13T13:45:00.000000,347.95,349.0,347.75,349.0,9174,ETERNAL,NaN,347.85555394546293,347.4908838467183,50.169202836091415,351.3,21.42520337540327,,,,,,
2025-10-13T13:50:00.000000,349.0,349.0,348.05,348.2,1864,ETERNAL,NaN,347.92444315637033,347.5553489515621,50.7771373859172,351.3,23.48507067250764,,,,,,
2025-10-13T13:55:00.000000,348.2,348.25,347.75,347.9,1489,ETERNAL,NaN,347.91955452509626,347.58668086505645,51.00782289160309,351.3,24.371481696391395,,,,,,
2025-10-13T14:00:00.000000,347.9,348.6,347.9,348.35,2686,ETERNAL,NaN,348.005643620077,347.65607351368766,51.60613907306758,351.3,25.68569232619192,,,,,,
2025-10-13T14:05:00.000000,348.55,348.65,348.2,348.55,3590,ETERNAL,NaN,348.1145148960616,347.7373395578979,52.310814921061905,351.3,26.972388148179743,,,,,,
2025-10-13T14:10:00.000000,348.55,348.9,348.25,348.25,3907,ETERNAL,NaN,348.1416119168493,347.78394505263446,52.60605222835206,351.3,28.490430937219124,,,,,,
2025-10-13T14:15:00.000000,348.25,348.55,347.4,347.6,2208,ETERNAL,NaN,348.03328953347943,347.76722277512226,52.21641882420845,351.3,27.492501463637403,,,,,,
2025-10-13T14:20:00.000000,347.6,348.3,347.55,348.2,2631,ETERNAL,NaN,348.06663162678353,347.8065661592021,52.40372183094968,351.3,26.56585266674009,,,,,,
2025-10-13T14:25:00.000000,348.2,348.7,348.0,348.45,2726,ETERNAL,NaN,348.14330530142684,347.86506014472917,52.77860130874454,351.3,26.379491121836104,,,,,,
2025-10-13T14:30:00.000000,348.45,348.6,348.3,348.3,1265,ETERNAL,NaN,348.1746442411415,347.90460013157195,52.959381644769856,351.3,26.206441115853835,,,,,,
2025-10-13T14:35:00.000000,348.3,348.4,348.05,348.3,973,ETERNAL,NaN,348.1997153929132,347.9405455741563,53.12294480593561,351.3,25.38969575176616,,,,,,
2025-10-13T14:40:00.000000,348.3,348.3,347.95,348.3,2695,ETERNAL,NaN,348.21977231433056,347.973223249233,53.27093052318082,351.3,24.377714679351833,,,,,,
2025-10-13T14:45:00.000000,348.3,348.4,348.1,348.15,2013,ETERNAL,NaN,348.2058178514644,347.98929386293906,53.21965627455337,351.3,23.642440719791356,,,,,,
2025-10-13T14:50:00.000000,348.15,348.5,348.0,348.35,4229,ETERNAL,NaN,348.2346542811715,348.0220853299446,53.39194925814517,351.3,22.959686328770914,,,,,,
2025-10-13T14:55:00.000000,348.35,348.4,348.0,348.0,1633,ETERNAL,NaN,348.1877234249372,348.02007757267694,53.10826881245141,351.3,22.325700108537642,,,,,,
2025-10-13T15:00:00.000000,348.0,348.0,347.55,347.55,8056,ETERNAL,NaN,348.0601787399498,347.97734324788814,52.35204060040096,351.3,20.97497901149575,,,,,,
2025-10-13T15:05:00.000000,347.55,348.7,347.55,348.55,20008,ETERNAL,NaN,348.15814299195983,348.02940295262556,52.708927886987794,351.3,20.74289756134144,,,,,,
2025-10-13T15:10:00.000000,348.55,348.75,347.95,348.15,11125,ETERNAL,NaN,348.1565143935679,348.0403663205687,52.60927821439884,351.3,20.618377198934155,,,,,,
2025-10-13T15:15:00.000000,348.15,348.45,348.05,348.35,17611,ETERNAL,NaN,348.1952115148543,348.06851483688064,52.70715632065199,351.3,20.50275114812739,,,,,,
2025-10-13T15:20:00.000000,348.35,348.6,347.95,348.0,12333,ETERNAL,NaN,348.1561692118834,348.06228621534603,52.430588372452135,351.3,20.691112401433195,,,,,,
2025-10-13T15:25:00.000000,348.0,348.45,347.6,347.6,8756,ETERNAL,NaN,348.04493536950673,348.02026019576914,51.79683619400713,351.3,19.864895375754646,,,,,,
2025-10-14T09:15:00.000000,351.05,351.95,348.4,349.5,109163,ETERNAL,NaN,348.33594829560536,348.15478199615376,52.73446274714115,351.95,22.672449913542085,,,,,,
2025-10-14T09:20:00.000000,349.5,349.5,346.2,346.2,73901,ETERNAL,NaN,347.90875863648427,347.97707454195796,51.50629633045137,351.95,22.192045581946065,,,,,,
2025-10-14T09:25:00.000000,346.2,346.7,345.25,346.6,74407,ETERNAL,NaN,347.64700690918744,347.8518859472345,50.647969549866396,351.95,20.81735462621477,,,,,,
2025-10-14T09:30:00.000000,346.6,347.45,346.55,347.15,50167,ETERNAL,NaN,347.54760552734996,347.7880781338495,50.207350852171565,351.95,20.144193509731988,,,,,,
2025-10-14T09:35:00.000000,347.15,347.75,347.05,347.05,34630,ETERNAL,NaN,347.44808442187997,347.7209801216814,49.75667539969085,351.95,19.74782089254766,,,,,,
2025-10-14T09:40:00.000000,347.05,347.3,346.95,347.05,36225,ETERNAL,NaN,347.368467537504,347.6599819288013,49.34892141887496,351.95,19.274941407916177,,,,,,
2025-10-14T09:45:00.000000,347.05,347.6,346.8,347.6,48314,ETERNAL,NaN,347.4147740300032,347.654529026183,49.34546570755274,351.95,19.082362039195242,,,,,,
2025-10-14T09:50:00.000000,347.6,348.65,347.4,347.8,40010,ETERNAL,NaN,347.49181922400254,347.6677536601664,49.47181705259342,351.95,19.679610643686633,,,,,,
2025-10-14T09:55:00.000000,347.8,348.15,347.7,348.1,30682,ETERNAL,NaN,347.61345537920204,347.70704878196943,49.78122879996722,351.95,20.2341986335715,,,,,,
2025-10-14T10:00:00.000000,348.1,348.65,347.95,348.05,49584,ETERNAL,NaN,347.7007643033616,347.73822616542674,50.02402433199992,351.95,21.096936886331687,,,,,,
2025-10-14T10:05:00.000000,348.05,348.3,347.85,348.1,19148,ETERNAL,NaN,347.7806114426893,347.77111469584247,50.27958352490337,351.95,21.763404879922174,,,,,,
2025-10-14T10:10:00.000000,348.05,348.45,347.9,348.4,34825,ETERNAL,NaN,347.9044891541514,347.8282860871295,50.729676947667826,351.95,22.49406362053707,,,,,,
2025-10-14T10:15:00.000000,348.4,348.4,348.15,348.15,21055,ETERNAL,NaN,347.9535913233211,347.8575328064814,50.917991639033914,351.95,23.172532451108044,,,,,,
2025-10-14T10:20:00.000000,348.15,348.8,347.95,348.7,23342,ETERNAL,NaN,348.1028730586569,347.9341207331649,51.49413110089217,351.95,24.11852672146287,,,,,,
2025-10-14T10:25:00.000000,348.7,348.9,348.5,348.75,37781,ETERNAL,NaN,348.2322984469255,348.00829157560446,52.05123016486528,351.95,25.075120542981608,,,,,,
2025-10-14T10:30:00.000000,348.75,349.5,348.7,349.3,37508,ETERNAL,NaN,348.4458387575404,348.12571961418587,52.936524662125464,351.95,26.41011213791952,,,,,,
