date,open,high,low,close,volume,symbol,expiry,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal,EntryPrice,ExitPrice,StopLoss,Target
2025-08-25T09:15:00.000000,2513.05,2521.9,2509.65,2513.0,1471,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:20:00.000000,2513.0,2517.8,2511.35,2517.65,327,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:25:00.000000,2517.65,2520.0,2517.1,2519.0,797,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:30:00.000000,2519.0,2519.8,2515.9,2517.3,163,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:35:00.000000,2517.3,2519.65,2517.05,2519.25,33,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:40:00.000000,2519.25,2521.0,2517.55,2520.95,234,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:45:00.000000,2520.95,2522.45,2518.9,2522.45,67,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:50:00.000000,2520.15,2520.15,2518.8,2520.15,109,ASIANPAINT,NaN,NaN,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T09:55:00.000000,2520.15,2521.95,2515.65,2515.65,245,ASIANPAINT,NaN,2518.377777777778,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:00:00.000000,2515.65,2519.4,2515.65,2518.05,81,ASIANPAINT,NaN,2518.3122222222228,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:05:00.000000,2518.05,2518.95,2517.0,2518.8,276,ASIANPAINT,NaN,2518.4097777777783,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:10:00.000000,2518.8,2520.5,2517.55,2517.55,88,ASIANPAINT,NaN,2518.237822222223,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:15:00.000000,2517.55,2518.75,2516.4,2516.9,74,ASIANPAINT,NaN,2517.9702577777784,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:20:00.000000,2516.9,2521.8,2516.9,2520.6,129,ASIANPAINT,NaN,2518.4962062222226,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:25:00.000000,2520.6,2521.95,2515.8,2516.1,98,ASIANPAINT,NaN,2518.016964977778,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:30:00.000000,2516.1,2516.75,2514.55,2515.0,256,ASIANPAINT,NaN,2517.4135719822225,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:35:00.000000,2515.0,2516.7,2514.65,2516.7,163,ASIANPAINT,NaN,2517.270857585778,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:40:00.000000,2516.7,2516.7,2511.0,2513.1,147,ASIANPAINT,NaN,2516.4366860686223,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:45:00.000000,2513.1,2513.1,2511.25,2511.25,95,ASIANPAINT,NaN,2515.3993488548977,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:50:00.000000,2511.25,2513.0,2510.45,2512.4,139,ASIANPAINT,NaN,2514.799479083918,NaN,NaN,2521.9,NaN,,,,,
2025-08-25T10:55:00.000000,2512.4,2513.0,2511.0,2513.0,157,ASIANPAINT,NaN,2514.4395832671344,2516.897619047619,NaN,2521.9,NaN,,,,,
