date,open,high,low,close,volume,symbol,expiry,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal,EntryPrice,ExitPrice,StopLoss,Target
2025-08-25T09:15:00.000000,3084.0,3106.4,3080.0,3100.1,22222,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:20:00.000000,3100.1,3107.7,3098.0,3098.0,11585,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:25:00.000000,3098.0,3111.3,3096.05,3110.2,2405,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:30:00.000000,3110.2,3118.4,3108.95,3117.5,5756,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:35:00.000000,3117.5,3124.05,3116.35,3122.1,10778,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:40:00.000000,3122.1,3130.0,3120.7,3129.95,3599,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:45:00.000000,3129.95,3131.65,3127.4,3131.1,4697,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:50:00.000000,3131.1,3132.75,3128.25,3129.4,1336,TCS,NaN,NaN,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T09:55:00.000000,3129.4,3131.7,3122.2,3124.2,2440,TCS,NaN,3118.061111111111,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:00:00.000000,3124.2,3129.4,3122.1,3123.8,1048,TCS,NaN,3119.208888888889,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:05:00.000000,3124.85,3127.35,3122.7,3122.7,2804,TCS,NaN,3119.907111111111,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:10:00.000000,3122.7,3127.35,3122.5,3125.5,537,TCS,NaN,3121.025688888889,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:15:00.000000,3125.5,3129.6,3125.0,3129.6,1524,TCS,NaN,3122.740551111111,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:20:00.000000,3129.6,3136.7,3129.6,3135.05,2308,TCS,NaN,3125.2024408888888,NaN,NaN,3124.05,NaN,,,,,
2025-08-25T10:25:00.000000,3135.05,3136.5,3130.0,3130.0,1022,TCS,NaN,3126.161952711111,NaN,NaN,3124.05,NaN,,,,,
